AÑO,TRIMESTRE,PROVEEDOR,COD DEPARTAMENTO,DEPARTAMENTO,COD MUNICIPIO,MUNICIPIO,CABECERA MUNICIPAL,COD CENTRO POBLADO,CENTRO POBLADO,COBERTURA 2G,COBERTURA 3G,"COBERTURA HSPA+, HSPA+DC",COBERTUTA 4G,COBERTURA LTE,COBERTURA 5G
2021,4,PARTNERS TELECOM COLOMBIA SAS,19,CAUCA,19622.0,ROSAS,S,19622000.0,ROSAS,N,S,S,N,N,N
2021,3,COMUNICACION CELULAR S A COMCEL S A,20,CESAR,20001.0,VALLEDUPAR,N,20001002.0,ATANQUEZ,S,S,S,S,N,N
2021,2,COMUNICACION CELULAR S A COMCEL S A,50,META,50110.0,BARRANCA DE UPÍA,N,50110001.0,SAN IGNACIO,N,S,S,N,N,N
2022,1,COLOMBIA MOVIL  S.A ESP,5,ANTIOQUIA,5642.0,SALGAR,S,5642000.0,SALGAR,S,S,S,S,N,N
2021,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,25,CUNDINAMARCA,25269.0,FACATATIVÁ,N,25269022.0,SAN ISIDRO,N,S,N,S,N,N
2023,3,COMUNICACION CELULAR S A COMCEL S A,15,BOYACÁ,15377.0,LABRANZAGRANDE,S,15377000.0,LABRANZAGRANDE,S,S,S,S,N,N
2021,2,COLOMBIA MOVIL  S.A ESP,70,SUCRE,70001.0,SINCELEJO,N,70001007.0,LA GALLERA,S,S,S,S,N,N
2021,1,COMUNICACION CELULAR S A COMCEL S A,19,CAUCA,19001.0,POPAYÁN,N,19001039.0,PARCELACION ATARDECERES DE LA PRADERA,N,N,N,N,N,N
2022,3,PARTNERS TELECOM COLOMBIA SAS,41,HUILA,41548.0,PITAL,S,41548000.0,PITAL,N,S,S,S,N,N
2022,4,PARTNERS TELECOM COLOMBIA SAS,13,BOLÍVAR,13430.0,MAGANGUÉ,S,13430000.0,MAGANGUÉ,N,S,S,S,N,N
2023,2,COLOMBIA MOVIL  S.A ESP,17,CALDAS,17174.0,CHINCHINÁ,S,17174000.0,CHINCHINÁ,N,S,S,S,N,N
2022,2,COMUNICACION CELULAR S A COMCEL S A,25,CUNDINAMARCA,25596.0,QUIPILE,S,25596000.0,QUIPILE,S,S,S,S,N,N
2021,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,25,CUNDINAMARCA,25307.0,GIRARDOT,S,25307000.0,GIRARDOT,S,S,S,S,N,N
