AÑO,TRIMESTRE,PROVEEDOR,COD DEPARTAMENTO,DEPARTAMENTO,COD MUNICIPIO,MUNICIPIO,CABECERA MUNICIPAL,COD CENTRO POBLADO,CENTRO POBLADO,COBERTURA 2G,COBERTURA 3G,"COBERTURA HSPA+, HSPA+DC",COBERTUTA 4G,COBERTURA LTE,COBERTURA 5G
2019,3,COMUNICACION CELULAR S A COMCEL S A,20,CESAR,20614.0,RÍO DE ORO,N,20614006.0,MONTECITOS,N,N,N,N,N,N
2022,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,23,CÓRDOBA,23807.0,TIERRALTA,N,23807019.0,CARRIZOLA,S,N,N,N,N,N
2022,4,COMUNICACION CELULAR S A COMCEL S A,95,GUAVIARE,95001.0,SAN JOSÉ DEL GUAVIARE,N,95001027.0,LAS ACACIAS,S,N,N,N,N,N
2017,4,COMUNICACION CELULAR S A COMCEL S A,76,VALLE DEL CAUCA,76109.0,BUENAVENTURA,N,76109099.0,PRIMAVERA,N,N,N,N,N,N
2016,3,COMUNICACION CELULAR S A COMCEL S A,25,CUNDINAMARCA,25898.0,ZIPACÓN,N,25898004.0,LA CAPILLA,S,N,N,N,N,N
2021,2,COMUNICACION CELULAR S A COMCEL S A,13,BOLÍVAR,13667.0,SAN MARTÍN DE LOBA,S,13667000.0,SAN MARTÍN DE LOBA,S,S,S,S,N,N
2018,2,COMUNICACION CELULAR S A COMCEL S A,41,HUILA,41770.0,SUAZA,N,0.0,HATO VIEJO,N,N,N,N,N,N
2021,2,COLOMBIA MOVIL  S.A ESP,86,PUTUMAYO,86001.0,MOCOA,S,86001000.0,MOCOA,S,S,S,S,N,N
2017,3,AVANTEL S.A.S,27,CHOCÓ,27810.0,UNIÓN PANAMERICANA,S,27810001.0,UNIÓN PANAMERICANA,N,N,N,N,N,N
2017,1,COMUNICACION CELULAR S A COMCEL S A,41,HUILA,41801.0,TERUEL,N,0.0,SAN PEDRO,N,N,N,N,N,N
2022,2,COMUNICACION CELULAR S A COMCEL S A,17,CALDAS,17042.0,ANSERMA,S,17042000.0,ANSERMA,S,S,S,S,N,N
2022,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,20,CESAR,20787.0,TAMALAMEQUE,S,20787000.0,TAMALAMEQUE,S,S,S,S,N,N
2015,4,COMUNICACION CELULAR S A COMCEL S A,73,TOLIMA,73067.0,ATACO,N,73067007.0,SANTIAGO PÉREZ,S,N,N,N,N,N
2017,1,COMUNICACION CELULAR S A COMCEL S A,19,CAUCA,19142.0,CALOTO,N,0.0,LOS CHORROS,N,N,N,N,N,N
2021,2,PARTNERS TELECOM COLOMBIA SAS,25,CUNDINAMARCA,25324.0,GUATAQUÍ,S,25324000.0,GUATAQUÍ,N,S,S,N,N,N
2018,3,COMUNICACION CELULAR S A COMCEL S A,17,CALDAS,17174.0,CHINCHINÁ,N,17174015.0,SAN ANDRÉS,N,N,N,N,N,N
